Identificador,Nome,Linhas de Pesquisa,Membros de Corpo Editorial,Revisores de Periódico,Revisores de Projeto de Fomento,Áreas de Atuação
0289472289990238,Carlos Ademir da Silva,,0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0291656053709539,Renan Novais da Silva,,0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0296598089002442,Rodrigo Santos de Oliveira,"Literatura, História e Memória Cultural",0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0299172232244995,Pedro Rodrigues de Almeida III,,0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0314788618557641,Rodrigo de Sousa e Silva,,0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0342332166757546,Paulo César Mappa,"Modelagem computacional, Métodos numéricos, Otimização, Otimização, Otimização Estrutural, Métodos Computacionais em Engenharia",0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0356437910416281,Sérgio Roberto Gomide Filho,,0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0377043176084442,Talia Santana Machado de Assis,"Avaliação de Tecnologias em Saúde: Economia da Saúde., Orientação e desenvolvimento de diversos projetos científicos na área da Ciências Biológicas e Ciências da Saúde.",0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0378389833501785,Henrique Neiva Guimarães,,0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0384697972696127,Rubens Marcos dos Santos Filho,Eletrônica de Potência,0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0394982647829977,João Henrique de Oliveira,,0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0404567835426303,Cleide Maria de Oliveira Lovon Canchumani,,0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0424195461271475,Alexandre Rodrigues Vaz,,0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0426741711913176,Eliene Pires Carvalho,,0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0439450274124588,Eliane Velloso Missagia,,0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0446125079009292,Evandro Carrusca de Oliveira,"Pesquisador em Ciência e Tecnologia, Análise e Planejamento Ambiental",0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0448924629074098,Paulo Henrique dos Santos,,0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0460460352086325,Rogério Martins Gomes,Sistemas Inteligentes,0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0465933977354421,Isis Pimentel de Castro,"Linha I: Intelectuais da Educação Profissional;, Linha II História das Instituições de Formação Profissional, Pesquisa e desenvolvimento de projetos de ensino",0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0504018067431591,Carla Simone Chamon,"Ciência, tecnologia e trabalho: abordagens filosóficas, históricas e sociológicas",0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0512879909037079,Barbara Del Rio Araujo,"Poéticas da Modernidade, Literatura, Cultura e Sociedade, Revista Versalete",0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0514681655241468,Raphael Nunes de Oliveira,,0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0518555693562303,Tatiana Cândida de Oliveira Palhano,,0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0524436323864831,Ludoff Leonardo Santini,,0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0531001850708530,Andrei Rimsa Álvares,,0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0531184725525392,Rosilene Nietzsch Dias,,0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0539560330282592,Andréa Rodrigues Marques Guimarães,"Avaliação dos efeitos ambientais e modelagem de bancos de sementes, Tratamento solar da água para desinfecção microbiológica, Biotecnologias ambientais para tratamento e conservação de recursos naturais",0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0555285416153310,Guilherme de Castro Leiva,"planejamento de transporte, mobilidade residencial, Demografia, Plano Estratégico de Desenvolvimento Urbano Integrado da Região Metropolitana do Rio de Janeiro",0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0555481048491343,Ronaldo Lage Figueiredo,,0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0569915684471351,Adilson Mendes Ricardo,,0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0572931273424168,Vicente Aguimar Parreiras,"Ensino e Aprendizagem Mediados por Computador, Leitura, Escrita e Novas Tecnologias (INFORTEC), Aprendizagem Mediada por Computador (INFORTEC), Linha III (POSLING) - Linguagem, Ensino, Aprendizagem e Tecnologia, Linha II (POSLING) - Escrita, Leitura e Processos Interdiscursivos",0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0580521228268726,Geraldo Magela Damasceno,"assitencia tecnica de projetos na área de recursos hidricos e infraestruturas de engenharia civil, elaboração de diagnostico socioeconomico e ambiental",0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0598731465954606,Aellington Freire de Araújo,"Materiais não convencionais, Concreto de Alto Desempenho",0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
