Identificador,Nome,Linhas de Pesquisa,Membros de Corpo Editorial,Revisores de Periódico,Revisores de Projeto de Fomento,Áreas de Atuação
4305968856853457,Mario Guimarães Junior,"Compósitos Poliméricos, Fibras e polpas de materiais lignocelulósicos, Modificações Químicas Superficiais de polpas e fibras lignocelulósicas, Caracterização de materiais não convencionais, Processo de Polpação e Refino de fibras de Bambu, Materiais nanoparticulados (argilas e Sílica), Bionanocompósitos utilizando matrizes de polissacarídeos, Nanofibras e nanowhiskers de materiais da biomassa, Tratamento termico de materiais nanoestruturado, Presidente comissão responsável pela análise de atualização do &quot;Regulamento do Curso de Pós-Graduação em Engenharia de Materiais&quot;., Descarte de equipamentos eletro-eletrônicos: riscos e soluções, Materiais lignocelulosicos e poliméricos, compósitos e nanoestruturas, bionanocompósitos, nanoestruturas, materiais lignocelulósicos, polimeros",0,0,0,", MATERIAIS NÃO CONVENCIONAIS, nanotecnologia e materiais nanoestruturados, Materiais Não-Metálicos, , Materiais Não-Metálicos"
4310469223479857,André Ferreira e Pereira,,0,0,0,"Equações Diferenciais Parciais, Otimização"
4341562492644961,Ricardo Saldanha de Morais,,0,0,0,"Análise, Probabilidade e Estatística Aplicadas"
4348087237433332,José Maurício Costa,Otimização,0,0,0,"Metodologia e Técnicas da Computação, Matemática da Computação, Inteligência Computacional"
4357223967149299,Lourdiane Gontijo das Mercês Gonzaga,Materiais de Construção e Estruturas,0,0,0,"Estruturas, Construção Civil, "
4372457623246551,Carlos Alberto Carvalho Castro,"Reatores e Meio Ambiente, Blindagem, Difusão de gases radioativos, Processos de Fabricação - Soldagem, Soldagem Subaquática, Fadiga dentro e fora d'água na presença da pressão hidrostática, Estudo das tensões residuais e distorções devido a soldagem",0,0,0,"Processos de Fabricação, Processos de soldagem SMAW, GMAW, FCAW, TIG, Engenharia Mecânica, Análise de Tensões, Robotização, Engenharia Nuclear"
4392893511082896,Rodrigo Gaiba de Oliveira,,0,0,0,"Eletrônica Industrial, Sistemas e Controles Eletrônicos"
4399751318054207,Virgínia Aparecida Ramos Filgueiras,Análise do discurso literário,0,0,0,", Língua Portuguesa, Literatura Brasileira, Literatura Comparada, Jornalismo e Editoração"
4402320597450647,Adriana Sales Zardini,,0,0,0,"Lingüística Aplicada, Lingüística Aplicada, , "
4411500051197105,Ulisses Cotta Cavalca,,0,0,0,"Sistemas de Computação, Desempenho de redes, SEGURANÇA COMPUTACIONAL, , Modelagem Matemática, "
