Identificador,Nome,Linhas de Pesquisa,Membros de Corpo Editorial,Revisores de Periódico,Revisores de Projeto de Fomento,Áreas de Atuação
0005625273834609,Raquel Diniz Oliveira,"Desenvolvimento de pesquisas relacionadas a Eficiência Energética de Edificações e Rotulagem de Edifícios, Membro do Grupo de Pesquisa de Conforto Ambiental da UFMG (CNPq), Desenvolvimento de pesquisas na área de Eficiência Energética de Edificações e Conforto térmico dos usuários, Membro do Grupo HVAC&R - Heating, Ventilation, Air Conditioning and Refrigeration (CNPq), Membro do Grupo Arquitetura Bioclimática e Construção Sustentável (CNPq), Líder do Grupo Eficiência Energética e Sustentabilidade no ambiente construído (CNPq), Desenvolvimento de pesquisas relacionadas a Modelagem da Informação da Construção (BIM), Sustentabilidade e simulação termoenergética (BEM), Membro do Grupo Materiais álcali-ativados (geopolímeros) como ligantes sustentáveis para a construção civil (CNPq), Research Fellow at LLILAS. Research subject: climatic suitability of houses based on prefabricated systems",0,0,0,"Desempenho térmico de sistemas estruturais, Conforto Térmico dos usuários, Eficiência Energética de Edificações, Simulação Termo energética, Arquitetura Bioclimática, Rotulagem de Edifícios"
0025786098254998,Juliana Santiago Teixeira,,0,0,0,"Banco de Dados, Banco de Dados, Programação de Computadores"
0051842357906949,Lucas Zangirolami Gomes,,0,0,0,", Processos de Fabricação"
0053523283713556,Emmanuel Ferreira de Sousa,,0,0,0,"Geologia, Engenharia Hidráulica, Meteorologia, Geodésia, Saneamento Ambiental, Saneamento Básico"
0060940396762422,Guilherme da Silva Veloso,,0,0,0,"Materiais Não-Metálicos, Materiais Não-Metálicos, Metalurgia Física, Fenômenos de Transporte, Fenômenos de Transporte"
0066067112109904,Hellen Pinto Ferreira Deckers,,0,0,0,", , Construções Rurais e Ambiência"
0071462798150509,Gisele Teixeira Dias Costa Pinto,,0,0,0,
0091668862843924,Márcia Valéria Rodrigues Ferreira,"Interação Homem-Computador (IHC), Informática na Educação, Teste de Software, Levantamento, Análise e Especificação de Requisitos, Tecnologia Assistiva",0,0,0,
0092132457119200,Janine Resende Rocha,,0,0,0,"Teoria Literária, Língua Portuguesa e Literaturas"
0095259744100943,João Carlos de Oliveira,,0,0,0,"Eletrônica Industrial, Sistemas e Controles Eletrônicos, Eletrônica Industrial, Sistemas e Controles Eletrônicos"
0106002973122539,Ildefonso Binatti,,0,0,0,", "
0108708304516432,Sergio Campos de Freitas,,0,0,0,", Recursos Hídricos, , Tratamento de Águas de Abastecimento e Residuárias, Qualidade do Ar, das Águas e do Solo, Controle da poluição"
0116602357674653,Claudio Antunes de Siqueira,"Desenvolvimento de Material Multimídia para Ensino de Física em Nível Superior, Desenvolvimento de um Amostrador de Grandes Volumes (HI-VOL) Para Controle de Poluição Ambiental por Material Particulado",0,0,0,"Física da Matéria Condensada, Física da Matéria Condensada, Física da Matéria Condensada, Física da Matéria Condensada, Ensino-Aprendizagem"
0119061678782077,Izabela Marques de Oliveira,"Análise, Métodos Matemáticos Aplicados",0,0,0,", Matemática Aplicada, Física Geral"
0120781005490081,Marcus Caetano Domingos,,0,0,0,", , , "
0127343657303312,Paulo Roberto de Almeida,,0,0,0,", Engenharia de Software, Simulação Numérica"
0129323556531304,Ana Paula Batista,"Sistemas de Controle em Rede (Networked Control Systems), Monitoramento de Usos Finais, Sistemas de Controle e Automação, Eficiência Energética, Sistemas Fotovoltaicos",0,0,0,"Controle e Automação de Processos, Controle e Automação de Processos, Medidas Elétricas, Magnéticas e Eletrônicas; Instrumentação, Eficiência Energética, Controle e Automação de Processos"
0134378707848529,Denilson de Cássio Silva,,0,0,0,"História do Brasil, História Política, História intelectual, História dos Intelectuais, História da Educação, História da abolição da escravidão"
0150562858207849,Jose Geraldo Ribeiro Junior,,0,0,0,"Redes Veiculares, Redes de Computadores, Computação Distribuída, Sistemas Operacionais, Sistemas de Informação"
0153998481924100,Valmir Dias Luiz,Processos de Fabricação,0,0,0,"Processos de Fabricação, Projetos de Máquinas, Materiais, tribologia"
0155470149319230,Ariany Carolina de Oliveira,Modelagem e Controle de Sistemas (Sistemas de Controle),0,0,0,
0156197892875545,Irlen Antônio Gonçalves,"Pedagogia: história da educação, formação de educadores e/ou novas tecnologias, Políticas de formação docente e de profissionalização, Ciência, tecnologia e trabalho: abordagens filosóficas, históricas e sociológicas",0,0,0,"Fundamentos da Educação, Fundamentos da Educação, , Fundamentos da Educação, História da Educação Profissional"
0174392273282011,Leonardo Neves,"Simulação Matemática no Escoamento Fluidodinâmico em Reatores Metalúrgicos, Simulação Física em Reatores Metalúrgicos, Simulação Matemática em Sistemas de Captação de Energia, Metalurgia Extrativa e Processos Metalúrgicos",0,0,0,"Pirometalurgia; Cinética Química, Metalurgia Extrativa; Fenômenos de Transporte Aplicado a Metalurgia, Mecânica dos Fluidos, Transferência de Calor e de Espécies Químicas"
0174853240595713,Ismail de Melo Figueiredo FIlho,,0,0,0,
0180366580403521,Tamires Huguenin Corrêa,,0,0,0,"Línguas Estrangeiras Modernas, Língua Portuguesa"
0186146801356164,Cléber Lessa de Moura,,0,0,0,
0193823400243551,Mateus Henrique da Costa,,0,0,0,"Sistemas de Controle e Automação, "
0200464870006735,Luiz Antônio Ribeiro,"Grupo de Estudos em Engenharia Didática - GEPED - Pesquisa e desenvolvimento de projetos de ensino, Material didático, recursos tecnológicos, ensino e aprendizagem",0,0,0,"Língua Portuguesa, Lingüística Aplicada, Teoria e Análise Lingüística, "
0242689225029672,Mônica Lopes Névoa,,0,0,0,
0249563467742892,Tulio Charles de Oliveira Carvalho,,0,0,0,"Medidas Elétricas, Magnéticas e Eletrônicas; Instrumentação, Medidas Elétricas, Magnéticas e Eletrônicas; Instrumentação"
0260908932476125,Milney Chasin,,0,0,0,"Ontologia, Política, Ética, Filosofia da Tecnologia"
0289472289990238,Carlos Ademir da Silva,,0,0,0,"Projetos de Máquinas, Processos de Fabricação, Projetos de Máquinas, Máquinas e Implementos Agrícolas"
0291656053709539,Renan Novais da Silva,,0,0,0,
0296598089002442,Rodrigo Santos de Oliveira,"Literatura, História e Memória Cultural",0,0,0,"Literatura Brasileira, Teoria Literária, Português instrumental, Português Língua Estrangeira (PLE)"
0299172232244995,Pedro Rodrigues de Almeida III,,0,0,0,
0314788618557641,Rodrigo de Sousa e Silva,,0,0,0,Engenharia Elétrica
0342332166757546,Paulo César Mappa,"Modelagem computacional, Métodos numéricos, Otimização, Otimização, Otimização Estrutural, Métodos Computacionais em Engenharia",0,0,0,"Matemática Aplicada, Mecânica dos Sólidos, Estruturas"
0356437910416281,Sérgio Roberto Gomide Filho,,0,0,0,", Literatura Brasileira, Preparação e Revisão de Itens, Teoria Literária, Literaturas de língua portuguesa, Revisão de textos e Preparação de originais"
0377043176084442,Talia Santana Machado de Assis,"Avaliação de Tecnologias em Saúde: Economia da Saúde., Orientação e desenvolvimento de diversos projetos científicos na área da Ciências Biológicas e Ciências da Saúde.",0,0,0,"Saúde Pública, , Microbiologia, Biologia molecular"
0378389833501785,Henrique Neiva Guimarães,,0,0,0,"Trocadores de calor, Fenômenos de Transporte, Engenharia Térmica, Engenharia Térmica, Mecânica dos Sólidos, Engenharia de Tubulações"
0384697972696127,Rubens Marcos dos Santos Filho,Eletrônica de Potência,0,0,0,"Eletrônica Industrial, Sistemas e Controles Eletrônicos, Eletrônica Industrial, Sistemas e Controles Eletrônicos"
0394982647829977,João Henrique de Oliveira,,0,0,0,
0404567835426303,Cleide Maria de Oliveira Lovon Canchumani,,0,0,0,"Literatura Brasileira, Teoria Literária, Ciência da religião"
0424195461271475,Alexandre Rodrigues Vaz,,0,0,0,", Sistemas Elétricos de Potência, Circuitos Elétricos, Magnéticos e Eletrônicos"
0426741711913176,Eliene Pires Carvalho,,0,0,0,"Estruturas, Estruturas, Gerência de Produção"
0439450274124588,Eliane Velloso Missagia,,0,0,0,", Línguas Estrangeiras Modernas"
0446125079009292,Evandro Carrusca de Oliveira,"Pesquisador em Ciência e Tecnologia, Análise e Planejamento Ambiental",0,0,0,"Ambiental, Geologia, Saneamento Ambiental, "
0448924629074098,Paulo Henrique dos Santos,,0,0,0,"Circuitos Elétricos, Magnéticos e Eletrônicos, Circuitos Elétricos, Magnéticos e Eletrônicos, INOVAÇÃO E DINÂMICA ORGANIZACIONAL, Tópicos Específicos de Educação"
0460460352086325,Rogério Martins Gomes,Sistemas Inteligentes,0,0,0,"Metodologia e Técnicas da Computação, Aprendizado de Máquina, Inteligência Computacional, Computação Natural, Otimização, Metaheurística"
0465933977354421,Isis Pimentel de Castro,"Linha I: Intelectuais da Educação Profissional;, Linha II História das Instituições de Formação Profissional, Pesquisa e desenvolvimento de projetos de ensino",0,0,0,"História do Brasil, Artes Plásticas, Políticas Museológicas"
0504018067431591,Carla Simone Chamon,"Ciência, tecnologia e trabalho: abordagens filosóficas, históricas e sociológicas",0,0,0,"História da Educação, História do Brasil, História do Brasil"
0512879909037079,Barbara Del Rio Araujo,"Poéticas da Modernidade, Literatura, Cultura e Sociedade, Revista Versalete",0,0,0,"Literatura, Cultura e Sociedade, Literatura Brasileira"
0514681655241468,Raphael Nunes de Oliveira,,0,0,0,"Engenharia Térmica, Engenharia Térmica"
0518555693562303,Tatiana Cândida de Oliveira Palhano,,0,0,0,", , "
0524436323864831,Ludoff Leonardo Santini,,0,0,0,óleo-hidráulica e pneumática
0531001850708530,Andrei Rimsa Álvares,,0,0,0,Sistemas de Computação
0531184725525392,Rosilene Nietzsch Dias,,0,0,0,"Sistemas Elétricos de Potência, Sistemas Elétricos de Potência, Sistemas Elétricos de Potência, Sistemas Elétricos de Potência, Engenharia de Qualidade"
0539560330282592,Andréa Rodrigues Marques Guimarães,"Avaliação dos efeitos ambientais e modelagem de bancos de sementes, Tratamento solar da água para desinfecção microbiológica, Biotecnologias ambientais para tratamento e conservação de recursos naturais",0,0,0,", Ecologia Aplicada, Ecologia de Ecossistemas, Ecofisiologia, Tecnologias Ambientais, Microbiologia Aplicada"
0555285416153310,Guilherme de Castro Leiva,"planejamento de transporte, mobilidade residencial, Demografia, Plano Estratégico de Desenvolvimento Urbano Integrado da Região Metropolitana do Rio de Janeiro",0,0,0,"Projeto de Arquitetura e Urbanismo, Planejamento de Transportes, Operações de Transportes, Distribuição Espacial"
0555481048491343,Ronaldo Lage Figueiredo,,0,0,0,"Matemática Aplicada, Probabilidade e Estatística Aplicadas, "
0569915684471351,Adilson Mendes Ricardo,,0,0,0,"Metodologia e Técnicas da Computação, Sistemas de Computação, Sistemas de Computação, Teoria da Computação, Empreendedorismo"
0572931273424168,Vicente Aguimar Parreiras,"Ensino e Aprendizagem Mediados por Computador, Leitura, Escrita e Novas Tecnologias (INFORTEC), Aprendizagem Mediada por Computador (INFORTEC), Linha III (POSLING) - Linguagem, Ensino, Aprendizagem e Tecnologia, Linha II (POSLING) - Escrita, Leitura e Processos Interdiscursivos",0,0,0,"Ensino-Aprendizagem, Integração das TDIC aos processos educativos, Materiais e Recursos Didáticos, Educação a distância, Leitura, Escrita e Cognição, Processamento de Linguagem Natural"
0580521228268726,Geraldo Magela Damasceno,"assitencia tecnica de projetos na área de recursos hidricos e infraestruturas de engenharia civil, elaboração de diagnostico socioeconomico e ambiental",0,0,0,", , Engenharia de Água e Solo, Construção Civil, "
0598731465954606,Aellington Freire de Araújo,"Materiais não convencionais, Concreto de Alto Desempenho",0,0,0,"Estruturas, Construção Civil, Álgebra, Análise, Geometria e Topologia, Estruturas"
0601704331729175,Mariana de Lourdes Almeida Vieira,"Produção de compostos antimicrobianos por microrganismos, Bioprospecção de fungos endofíticos, Seleção de leveduras da biodiversidade brasileira capazes de fermentar pentoses para o desenvolvimento de linhagens para aplicação industrial - CNPq/bolsa PNPD, AMTEC/GEMATEC ? Analogias e Metáforas na Tecnologia, na Educação e na Ciência ? CEFET-MG",0,0,0,", Microbiologia Aplicada, Microbiologia Aplicada"
0607566896068816,Diego Fernando Bolanos,"Psicologia, Psicanalise e infancia, Psicologia, Psicanalise e Educação, Educação Fisica; Esporte Escolar e comunitario; Esporte e Saúde Social, Saude Ocupacional, Esporte, Ergonomia",0,0,0,", Psicologia, Psicanalise, Educação Física e ciências do esporte"
0613519736951060,Rogerio Cabral de Azevedo,"Avaliação Crítica e Proposições de Melhorias no Ensaio de Durabilidade de Sistemas de Vedações Verticais Externas (SVVE) Previsto na NBR 15.575:2013, Metodologia da Pesquisa - medidas quali-quantitativas para avaliação da publicação científica nacional, Avaliação de desempenho, Avaliação da qualidade e Gestão de Riscos na Construção Civil",0,0,0,"Construção Civil, Gestão de riscos, Sistemas de Informação, Banco de Dados"
0614048325379729,Ailton Vitor Guimarães,"Lazer, educação e trabalho, Política, Trabalho e Formação Humana",0,0,0,", Trabalho e educação, Educação Tecnológica, Lazer, "
0618406070175700,Jose Geraldo de Araújo Pereira,,0,0,0,
0618580837232742,Sueli Pereira Perpétua,,0,0,0,
0625884615720897,Priscila Pereira Silva Caldeira,"Complexos metálicos com atividade farmacológica, Dispositivos poliméricos biocompatíveis para liberação controlada de íons metálicos bioativos para aplicações farmacológicas e dermocosméticas",0,0,0,"Química Inorgânica, Materiais Não-Metálicos"
0627132895544473,Marta Passos Pinheiro,"Literatura e educação, Material didático, recursos tecnológicos, ensino e aprendizagem, COMTE- Corpo Movimento e Tecnologia",0,0,0,"Literatura Brasileira, Língua Portuguesa, "
0629062310648371,Maria de Lourdes Martins Alves de Sousa,,0,0,0,", PATRIMÔNIO, , Artes Plásticas"
0637557657024814,William Geraldo Sallum,,0,0,0,", Metodologia e Técnicas da Computação, Metodologia e Técnicas da Computação, Metodologia e Técnicas da Computação, Metodologia e Técnicas da Computação, "
0671607095176669,Mirela de Castro Santos,,0,0,0,Física da Matéria Condensada
0672703814158202,Eduardo Henrique da Rocha Coppoli,"Engenharia de Software, Elementos Finitos, Eletrodinâmica",0,0,0,"Circuitos Elétricos, Magnéticos e Eletrônicos"
0703206245080689,João Vítor de Assis,,0,0,0,
0704041387706870,Wanderley dos Santos Roberto,Aplicações de Radioisótopos,0,0,0,"Física Geral, Física Nuclear, Física Nuclear, Física Nuclear, Aplicações de Radioisótopos, Engenharia Médica"
0709639477342692,Leonardo Gonçalves Rimsa,,0,0,0,
0713551305603214,Rodolfo Vieira Maximiano,"Desenvolvimento de materiais didáticos gamificados, e práticas de baixo custo para ensino de programação e robótica, Modelos físicos aplicados a bioinformática, Espectroscopia de Campo Próximo",0,0,0,
0721294852274153,Juliana Martins Godin,,0,0,0,"Artes Visuais, História da Arte, , Comunicação e Eventos, Artes Visuais, Fundamentos de Arquitetura e Urbanismo"
0725800206328814,Mateus Justino da Silva,"2.Materiais Reforçados com Geosintéticos, 1.Recuperação de Áreas Degradadas",0,0,0,"Geotécnica, Geotécnica, Geotécnica, Construção Civil, Construção Civil, Estruturas"
0741359959492795,Wesley Henrique Maciel,,0,0,0,", Computação Gráfica"
0751778751767172,Douglas Nunes de Oliveira,Segurança da Informação,0,0,0,"Teoria da Computação, Metodologia e Técnicas da Computação, Teoria da Computação, Teoria da Computação, Metodologia e Técnicas da Computação"
0755520673529170,Sérgio Luiz Costa Saraiva,,0,0,0,
0756874664960114,Adriana Trindade de Souza Lauar,,0,0,0,"Eletrônica Industrial, Sistemas e Controles Eletrônicos"
0760295560485786,Felipe Almeida Vieira,POTENCIAL ANTIMICROBIANO DO EXTRATO BRUTO DE ESPÉCIES VEGETAIS DE USO CORRENTE NA MEDICINA ALTERNATIVA REGIONAL,0,0,0,"Química de Macromoléculas, Bioquímica dos Microorganismos, , Biologia e Fisiologia dos Microorganismos, Microbiologia Aplicada, Biologia e Fisiologia dos Microorganismos"
0783179484317105,Augusto Cesar da Silva Bezerra,"Desenvolvimento de técnicas e materiais sustentáveis, Utilização de ensaios não destrutivos para compósitos, Comportamento de novos materiais ao fogo e a altas temperaturas, Infraestrutura de Transportes, Reciclagem, Seleção, processamento e caracterização, Estruturas, Geologia de Engenharia e Geotecnia Ambiental",0,0,0,"Construção Civil, Ciência dos materiais, Materiais Não-Metálicos, Materiais Não-Metálicos"
0790045760604446,Luciana Alvarenga Santos,,0,0,0,"Estruturas, Materiais não convencionais"
0808211511605026,Renato Zanetti,,0,0,0,"Circuitos Elétricos, Magnéticos e Eletrônicos, Eletrônica Industrial, Sistemas e Controles Eletrônicos, Bioengenharia, Bioengenharia"
0824886862509279,José Luiz Acebal Fernandes,"Sistemas Dinâmicos, Teoria Quântica de Campos",0,0,0,"Física das Partículas Elementares e Campos, Física Geral, Matemática da Computação, Física Geral, Ecologia Aplicada"
0825847529728531,Rosiane Resende Leite,,0,0,0,", , , , Entomologia e Malacologia de Parasitos e Vetores"
0878316792233407,Cláudio Humberto Lessa,,0,0,0,
,Julio Cesar Nogueira Gesualdo,,0,0,0,
0914199949663842,Evandro de Sousa Dâmaso,,0,0,0,"EFICIÊNCIA ENERGÉTICA, Sistemas Elétricos de Potência, Sistemas Elétricos de Potência, Ensino-Aprendizagem, Sistemas Elétricos de Potência"
0916925478592197,Sady Antonio dos Santos Filho,Engenharia Elétrica e Biomédica,0,0,0,"Sistemas de Computação, Engenharia Médica, Eletrônica Industrial, Sistemas e Controles Eletrônicos, Circuitos Elétricos, Magnéticos e Eletrônicos, Bioengenharia"
0933195232742855,Marcela Maira Nascimento de Souza Soares,Desenvolvimento de técnicas e materiais sustentáveis,0,0,0,"Construção Civil, Construção Civil, Gerência de Produção"
0933207635099747,Marcos Veloso de Menezes,,0,0,0,"Saneamento Básico, Tratamento de Águas de Abastecimento e Residuárias, Saneamento Básico, Saneamento Ambiental, Saneamento Básico, Engenharia Hidráulica"
0976210016960340,Jose Leoncio Fonseca de Souza,Eficiência Energética,0,0,0,"Engenharia Térmica, Matemática Aplicada, Fenômenos de Transporte, Fenômenos de Transporte, Engenharia Térmica"
0977962747578095,Gilze Belém Chaves Borges,"Implantação da ISO9002 e Acompanhamento do Sistema de Qualidade, Desenvolvimento de Métodos e Aplicações em Cromatografia gasosa, Desenvolvimento de Métodos de Análise de água e Efluentes, Desenvolvimento de Currículos e Programas de Cursos voltados à área Petroquímica, Plano Diretor das cidades do entorno de Furnas - Projeto ALAGO, Monitoramento Qualitativo e Quantitativo de águas subterrâneas, Desenvolvimento de instrumentação empregando espectroscopia NIR para o monitoramento de gases livres e dissolvidos em óleo isolante de transformadores elétricos, Inventário de bacias hidrográficas, Vermicompostagem e Biofertilizantes, Ciências Ambientais e do Solo, Aditivos Químicos",0,0,0,"Química Analítica, espectroscopia NIR, Sistemas elétricos de potência- Transformadores, Gestão Integrada de Aqüíferos, Ciências Ambientais, Petróleo e Petroquímica"
0977994271668461,Patrícia Romeiro da Silva Jota,"Supervisão de sistemas de potência, Sistemas inteligentes aplicados a SEP, Planejamento e Operação de Sistemas Elétricos de Potência POSEP, Geração alternativa de Energia - Sistemas fotovoltáicos, Smart grid e Qualidade de Energia",0,0,0,"Sistemas Elétricos de Potência, Sistemas Elétricos de Potência, Materiais Elétricos, Sistemas Elétricos de Potência"
0988054064756242,Carlos Renato Storck,"Computação Móvel e Qualidade de Serviço, Redes de Nova Geração",0,0,0,"Sistemas de Computação, Metodologia e Técnicas da Computação, Redes de Nova Geração"
0996675223199497,André Rodrigues Monticeli,"Matemática aplicada, Ensino de matemática, Otimização",0,0,0,"Matemática Aplicada, Ensino-Aprendizagem"
1005256816612049,Leonardo Roberto da Silva,"Usinagem, Usinagem, Reciclagem, Processos de Fabricação, Retificação, Integridade Superficial, Usinagem, Usinagem",0,0,0,", , Processos de Fabricação, Processos de Fabricação, Processos de Fabricação, "
,Jorge Antônio Soares Corrêa,,0,0,0,"Ecologia Aplicada, Conservação da natureza, Parques e Jardins, Fitotecnia"
1017559134555391,Rodrigo Reis Pereira,"Engenharia de Software, Modelagem Ambiental",0,0,0,"Metodologia e Técnicas da Computação, Computação Aplicada, Modelagem Ambiental"
1022639330009149,Alan Mendes Marotta,,0,0,0,"Circuitos Elétricos, Magnéticos e Eletrônicos, Telecomunicações, Telecomunicações, Materiais Elétricos, "
1035001213215420,Carolini Tavares Frinhani,,0,0,0,", , "
1040692177561252,Adilson Rangel Alves,,0,0,0,Construções Rurais e Ambiência
1044809169834584,Roger Andrade Dutra,"Projeto Integrado de Difusão e Avaliação de Tecnologia Informatizada para as Ciências Humanas - PROIN/CAPES, Comunicação e Cultura Urbanas, Tecnociências, Cultura e Sociedade, Novas metodologias em ensino",0,0,0,"História das Ciências, Epistemologia, História das Ciências, História Moderna e Contemporânea, História Moderna e Contemporânea"
1047283463000499,Rone Eleandro dos Santos,Sociedade da Informação e Governo Algorítmico (SIGA),0,0,0,", Introdução à Filosofia, Ética, Filosofia Política, História da Filosofia, Filosofia da tecnologia"
1066704773949155,Pia Coeli Rosciano,,0,0,0,"Engenharia do Produto, Construção Civil, Saúde Ocupacional e Segurança do Trabalho, Gerência de Produção, , gestão da qualidade"
,Marcos Gonçalves Rios,,0,0,0,"Gerência de Produção, Metodologia e Técnicas da Computação"
1077784350343312,Lucas Guedes Vilas Boas,,0,0,0,"Geografia Humana, Geografia Humana, Ensino de Geografia, Geografia Humana, Formação Territorial do Brasil, Geografia da População"
1126418664825626,Allan Ferreira Pinto,Integrante do Grupo de Pesquisa em Eficiência Energética e Construção Civil - GPEEC,0,0,0,"Aterramentos Elétricos, Transitórios Eletromagnéticos, Sistemas Elétricos de Potência, Instalações Elétricas e Industriais, Desempenho de Linhas de Transmissão"
1128209882974474,Luis Argel Poveda Calviño,"Cálculo de estrutura eletrônica de compostos moleculares com aplicações potenciais no aproveitamento de energia solar, Cálculo de estrutura eletrônica de Porfirinas, Ftalocianinas e sistemas relacionados, Espalhamento quântico de pósitrons em átomos e molêculas, Cálculo e representação de superfícies de energia potencial com aplicações em dinâmica molecular, Fisica Atómica e Molecular",0,0,0,"Física Atômica e Molecular, Física Atômica e Molecular, Físico-Química"
1134724328958937,Felipe Pimentel Palha,,0,0,0,", Geografia Agrária, Ecologia política, , Educação Ambiental, Geografia Humana"
1136163180834795,Rodrigo Augusto da Silva Alves,,0,0,0,"Sistemas de Informação, Probabilidade e Estatística Aplicadas, Gestão de Projetos, Novas metodologias de ensino e aprendizagem"
1136474026350936,Nestor Dias de Oliveira Volpini,"Redes de Computadores, Sistemas Embutidos para Engenharia Elétrica e de Telecomunicações",0,0,0,"Sistemas de Computação, Sistemas de Computação, Telecomunicações, Medidas Elétricas, Magnéticas e Eletrônicas; Instrumentação, Medidas Elétricas, Magnéticas e Eletrônicas; Instrumentação"
1159776639934482,Airton José Porto,,0,0,0,
1171535597046093,Cândido Samuel Fonseca de Oliveira,,0,0,0,"Psicolinguística, Linguística, Lingüística Aplicada, "
1172487603215469,Júnia Nunes de Paula,,0,0,0,", , "
1188190487447673,Patterson Patricio de Souza,,0,0,0,", Química Analítica, Química Analítica, Físico-Química"
1202280987057911,Allysson Fillipe Oliveira Lima,,0,0,0,Ciências Humanas / História / História Contemporânea / Revolução Francesa
1202901189979381,Charles Souza do Amaral,,0,0,0,", Probabilidade"
1207757858897815,Lázaro Eduardo da Silva,,0,0,0,"Sistemas Inteligentes, Programação WEB, Metodologia e Técnicas da Computação, Metodologia e Técnicas da Computação, Sistemas Embarcados, Controle e Supervisão de Sistemas Elétricos"
1222885781957838,Josemare Andrade Pires,"Ensino da Filosofia, Pesquisa em Agricultura Familiar, Argumentação e educação, Projeto político-pedagógico, Publicidade e antipublicidade em mídia virtual",0,0,0,", "
1228978469230164,Angela de Mello Ferreira,"Desenvolvimento de superfícies funcionais, Desenvolvimento de novos materiais funcionais para aplicação ambiental, Desenvovimento de filmes finos via processo sol-gel para aplicaçao em energia solar, Desenvolvimento de processos e métodos para descontaminação de efluentes líquidos contaminados com metais pesados e compostos orgânicos.",0,0,0,", Materiais Não-Metálicos, Processos Industriais de Engenharia Química, , Físico-Química, Adsorção física e química"
1235088103825622,Braulio Silva Chaves,"História da Ciência, Divulgação Científica, Sociologia do Conhecimento, Educação em Saúde, Estudos CTS (Ciência, Tecnologia e Sociedade)",0,0,0,", História das Ciências, História das Ciências, História das Ciências"
1235576150070282,Silvania Aparecida de Freitas,,0,0,0,", , Filosofia da Tecnologia"
1249744320544465,Elias de Sá Farias,,0,0,0,"Silvicultura, Conservação da Natureza, Geoprocessamento, Ciência e Tecnologia da Madeira"
1272237997189988,Hermes de Souza Costa,,0,0,0,"Materiais Não-Metálicos, Materiais Odontológicos"
1279991367828978,Luciana Boaventura Palhares,"Recuperação de rejeitos de ardósia, Caracterização de Materiais particulados, Produção de peças cerâmicas via colagem de barbotinas, Obtenção e Caracterização de Recobrimentos de Vidro Bioativo e Hidroxiapatita por Processamento Sol-Gel e Precipitação, Produção de peças cerâmicas de sílica, alumina e zircônia via colagem de barbotinas., Recuperação de rejeitos de ardósia via colagem de barbotinas, Produção de concreto com rejeitos de ardósia, RCC e Chamote, Produção de rocha artificial com pó de ardósia e vidro, Caracterização Mecânica de Materiais Odontológicos",0,0,0,", Ciência e Engenharia de Materiais, Ciência e Engenharia de Materiais"
1285361979073768,Edmar Ferreira Cota,,0,0,0,"Sistemas Elétricos de Potência, Sistemas Elétricos de Potência"
1289369916763228,Maria Cristina Monteiro de Souza Costa,Tratamento Biológico de Efluentes / Estudo do Processo ANAMMOX,0,0,0,"Imunologia Aplicada, Bioquímica dos Microorganismos, Biologia Molecular, Microbiologia Aplicada, , Biotecnologia Ambiental e Recursos Naturais"
1292401388194491,Diana Quintão Lima,"Tratamento de rejeitos sólidos contendo cromo, Catálise, Síntese e caracterização de materiais, Química Ambiental, Espectroscopia Mössbauer, Células a combustível de óxido sólido (SOFC)",0,0,0,Química Analítica
1302666258264971,Moacir Felizardo de França Filho,,0,0,0,"Matemática Aplicada, Pesquisa Operacional, Fenômenos de Transporte, Fenômenos de Transporte"
1348684373783230,Domingos Sávio de Resende,,0,0,0,"Construção Civil, Materiais Não-Metálicos, Medidas Elétricas, Magnéticas e Eletrônicas; Instrumentação, Sistemas Elétricos de Potência"
,José Maria Nascimento Pessoa,,0,0,0,Mêcanica
1370185871410493,Leonardo dos Santos Lima,"Estrutura eletrônica de átomos e moléculas - teoria, Materiais magnéticos e propriedades magnéticas da matéria - teoria, Transporte de Spin; Transporte de Calor; Magnetismo e Materiais magnéticos, Transição de fase // Supervisor: Bismarck Vaz da Costa, Transporte de spin e calor // Supervisor: Sebastian Eggert, Transição de fase, Possível Generalização da Estatística de Boltzmann-Gibbs, Mecânica Estatística Não-Extensiva // Supervisores: Constantino Tsallis , Fernando Dantas Nobre, Magnetismo e Materiais Magnéticos, Métodos Matemáticos Aplicados, Modelagem Matemática e Computacional, Teoria Quântica de Campos aplicada a Física da Matéria Condensada",0,0,0,"Física da Matéria Condensada, Física da Matéria Condensada, Física da Matéria Condensada"
1370339504435258,Paulo Renato Perdigão de Paiva,"Minerais Industriais - Técnicas Alternativas para a Modificação do Caulim, Minerais Industriais - Inovação Tecnológica no Uso de Minerais Industriais na Agricultura Projeto AGROMIN-CT-Mineral, Minerais Industriais - Identificação e Caracterização de Zeólitas, Estudo de Caracterização, Estudo de Concentração Gravítica, Desenvolvimento da metodologia Rietveld, Aplicação das técnicas de difração de raios-X em conjunto com a metodologia Rietveld, Caracterização dos resíduos sólidos provenientes da mineração ou do processamento mineral e a caracterização/desenvolvimento/aplicação de materiais sintéticos e naturais para a fixação, separação, imobilização e encapsulamento de espécies químicas, Materiais cerâmicos tradicionais e avançados, Caracterização de materiais, Quantificação de fases - Método Rietveld, Minerais industriais",0,0,0,"Metalurgia Extrativa, Materiais Não-Metálicos, Materiais Não-Metálicos, Caracterização de Materiais"
1379933557671260,Clayton Angelo Silva Costa,,0,0,0,"Educação Ambiental, Ecologia Humana, Percepção socioambiental"
